,title,author,rating,votes_count,students_count,level,duration,platform,free
198,OpenCV Project - Image to Pencil Sketch and Cartoon Paint in Python,Srikanth Guskra,0.0,0,12,Beginner,0.7966666666666666,Skillshare,True
199,The Complete Database Design Beginners Tutorial,Rares Ilea,3.6,76,1080,Beginner,2.0994444444444444,Skillshare,True
200,QGIS . - Working with attributes,Mike Miller,3.7,7,44,Intermediate,1.0597222222222222,Skillshare,True
201,Multiple Linear Regression with scikit-learn,Coursera Project Network,4.5,334.0,7400,Beginner,,Coursera,False
202,Introdução ao Big Data,Fundação Instituto de Administração,4.6,307.0,15000,Beginner,16.0,Coursera,False
203,Nursing Informatics Leadership Theory and Practice,University of Minnesota,4.7,35.0,1700,Beginner,,Coursera,False
204,Communicating Business Analytics Results,University of Colorado Boulder,4.5,425.0,21000,Mixed,7.0,Coursera,False
205,Analyze Survey Data using Principal Component Analysis,Coursera Project Network,4.0,33.0,,Advanced,,Coursera,False
206,Introducción a Ciencias de Datos y Estadística Básica para Negocios,TecdeMonterreyX,,,6555,Advanced,16.0,edX,True
207,Data Visualization e manipolazione dei dati con Tableau,FedericaX,,,,Intermediate,20.0,edX,True
208,Data Mining without coding ~ Visual Programing ~,Squall Wu,4.7,11.0,29,Beginner,2.0,Udemy,False
209,Programmer avec R en en partant de zéro + Projet (),"Favrett | Data Science, Programmation, E-Commerce",4.8,17.0,66,Mixed,5.0,Udemy,False
210,Apprendre la Data Science avec R,Charles Bordet,4.4,203.0,1309,Beginner,9.5,Udemy,False
211,"【！】 TensorFlow, Keras, Python で学ぶディープラーニング体験講座",井上 博樹 (Hiroki Inoue),4.1,2177.0,14639,Beginner,4.5,Udemy,False
212,Practical Numpy: Beginners to Advanced,DevTechie Inc,0.0,0.0,3,Mixed,1.5,Udemy,False
213,Data Science: Sentiment Analysis - Model Building Deployment,AutomationGig .,0.0,0.0,0,Mixed,1.5,Udemy,False
214,Alteryx: Data Science with Alteryx,Prashanth Chidambaram,4.6,2.0,855,Mixed,1.0,Udemy,False
215,Data Science Cybersecuity Implementation,Amine Mehablia,3.8,16.0,112,Intermediate,1.5,Udemy,False
216,Machine Learning With TensorFlow: The Practical Guide,Eduonix Learning Solutions,3.8,16.0,665,Mixed,6.5,Udemy,False
217,Learn Machine Learning & Data Science With Python Bootcamp,Sufa Digital Media,4.8,23.0,434,Beginner,15.5,Udemy,False
218,Machine Learning Intro for Python Developers,Frank Anemaet,4.2,36.0,2802,Beginner,1.0,Udemy,False
219,Complete Data Analysis with Pandas : Hands-on Pandas Python,Ankit Mistry,4.5,658.0,12167,Mixed,17.0,Udemy,False
220,Python & Introduction to Data Science,AI 4 MY,4.3,1062.0,45643,Beginner,9.0,Udemy,False
221,The Importance of Ethics in Data Science,,,,,Intermediate,0.7,Pluralsight,False
222,Build Desktop Apps with Python PyQt,Maarten Lok,2.4,10,1257,Intermediate,2.0580555555555557,Skillshare,True
223,Kubernetes- : A Comprehensive guide ! The hottest Infrastructure technology in the planet.,Indira Programmers,1.0,0,123,Advanced,1.7633333333333334,Skillshare,True
224,"Learn Ultimate Python- GUI Course With Tkinter , Qt and PyGTK",Funky Programmer,0.0,0,34,Mixed,3.8647222222222224,Skillshare,True
225,Information Theory,Chuck Creager Jr.,2.0,0,22,Beginner,0.4230555555555556,Skillshare,True
226,Introduction to Data Science in Python,University of Michigan,4.5,24767.0,630000,Intermediate,,Coursera,False
227,Text Retrieval and Search Engines,University of Illinois at Urbana-Champaign,4.5,869.0,50000,Mixed,31.0,Coursera,False
228,Advanced Data Science Capstone,IBM,4.6,362.0,13000,Advanced,,Coursera,False
229,Promote the Ethical Use of Data-Driven Technologies,CertNexus,4.6,93.0,5600,Beginner,,Coursera,False
230,"Predictive Modeling, Model Fitting, and Regression Analysis","University of California, Irvine",4.4,27.0,,Intermediate,,Coursera,False
231,Excel for Everyone: Data Analysis Fundamentals,UBCx,,,9217,Intermediate,24.0,edX,True
232,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,HarvardX,,,63196,Beginner,36.0,edX,True
233,Complete Statistics BootCamp: Hands-On with Python,Asad Ali Ali,0.0,0.0,0,Beginner,8.5,Udemy,False
234,直感！Pytorchで始める深層学習実装入門（実践編）,経知 神草,4.5,21.0,217,Intermediate,5.5,Udemy,False
235,Aprende Machine Learning Desde Cero con Python,Kevin Meneses González,4.3,183.0,14314,Mixed,9.0,Udemy,False
236,R ile Veri Bilimi ve Machine Learning ( Saat),Mustafa Vahit Keskin,4.8,1173.0,7604,Beginner,37.0,Udemy,False
237,Machine Learning Terminology & Process For Beginners,ClayDesk E-learning,4.1,34.0,6083,Beginner,3.5,Udemy,False
238,Python for Data Science and Data Analysis,AI Sciences,3.9,80.0,445,Mixed,16.0,Udemy,False
239,"Learn Data Science Deep Learning, Machine Learning NLP & R",Cinnamon TechX,4.3,702.0,4485,Mixed,70.5,Udemy,False
